news_author,news_headline,related_tweet,post_replies,post_retweets,post_favourites,post_quotes,user_followers,user_following,user_friends,user_mentions,user_favourites,user_tweets_count,user_tweet_count_lists,user_country,misinformation
Samantha Putterman,Says authorities found 39 children in a double wide trailer in Georgia and it's not the biggest news story in America.,"How is finding 39 missing children in a double wide trailer in Georgia NOT the biggest news story in America?
#WakeUpToReality",0.0,0,0,0,74.0,,632.0,0.0,3217.0,5111.0,0.0,,0.0
Hayat Norimine,Says Joe Biden called for a jihad in a video.,"@whitneyleerob Nothing behind... This country can find room for undocumented Central Americans, yet can't help those Afghan allies???. Kinda like the Cuban refuges from a few months back... Just as Barry called Isis the jv. Biden now has left the door open for jihad on the rest of the world.",0.0,0,0,0,5.0,,128.0,1.0,1305.0,369.0,1.0,US,0.0
Jaren Holmes,Small trials to test convalescent plasma therapy for coronavirus patients seem to have had some degree of success.,@Rubina_BigB_EF @netshrink I read a snippet which said convalescent plasma therapy could be responsible for mutations.,1.0,0,0,0,3883.0,,1368.0,2.0,268985.0,95975.0,0.0,US,1.0
Madison Czopek,"""BUSTED: CDC Inflated COVID Numbers, Accused of Violating Federal Law""","@scdhec Facts:  Covid 19 shots were made before the pandemic started, PCR tests are calibrated to falsely inflate the numbers(CDC finally admitted now and will be done 12/31) 2.2 million deaths model was funded by Bill Gates who is a eugenicists, has called for pop reduction.",0.0,0,0,0,0.0,0.0,52.0,1.0,20.0,717.0,0.0,,0.0
Warren Fiske,"States with ""the highest gun ownership rates also have the highest suicide rates.""","@jobba41 @oliverdarcy Did he talk about the prevalence of guns, the easy access to guns as being part of the problem? Did he mention that the states with the highest levels of gun ownership happen to be the states with the highest suicide rates? Along with the converse being true?",1.0,0,0,1,372.0,0.0,2818.0,2.0,10320.0,11218.0,15.0,,1.0
Daniel Funke,Says Jerry Nadler said God has no authority in the House of Representatives,"@RepJerryNadler Jerry Nadler is a disgrace to the American people he needs to step down for his corruption in a conspiracy to impeach the President, President Trump will be reelected God bless America",0.0,0,1,0,424.0,0.0,1317.0,1.0,634.0,3172.0,0.0,,0.0
Warren Fiske,"""The United States is one of only seven nations that allows elective abortions after 20 weeks post-fertilization.""","@naturallie @Noah_J_Byrd ""In cases of rape, 0.3%; in cases of incest, 0.03%; in cases of risk to maternal life, 0.1%; in cases of risk to maternal health, 0.8%; and in cases of fetal health issues, 0.5%. About 98.3% of abortions in the United States are elective (W.R. Johnston, 2016).""",1.0,0,1,0,304.0,,223.0,2.0,14087.0,5672.0,2.0,US,1.0
Louis Jacobson,Says Joe Biden and Kamala Harris want massive tax hikes on working families.,"@easeltyne @realScottWagner Tom Wolf didnt sign 3 budgets, threatens multiple back-breaking tax hikes on middle class working families &amp; has more vetoes than any other Guv in the history of the state (combined, just think about THAT) and youre concerned about irrelevant campaign rhetoric. Its laughable",1.0,0,0,0,20.0,0.0,183.0,2.0,983.0,2500.0,2.0,,0.0
Jon Greenberg,Masks have negative impacts on 68% of children.,"@BravoCrypto11 @stansoderstrom @FoxNews And there is evidence that the effectiveness of masks is very low. Moreover, there is really no no evidence that masks work for small children.  But there is growing evidence that masking is having negative impacts on children.",0.0,0,0,0,100.0,,54.0,3.0,9101.0,3923.0,1.0,,0.0
Sue Owen,"Says according to the FBI, more people are killed each year with hammers and clubs than rifles.","@BarackObama FBI: More People Killed with Hammers, Clubs Each Year Than Rifles.",0.0,3,1,0,2166.0,,1932.0,1.0,13579.0,15874.0,17.0,US,1.0
Gabrielle Settles,The tax deadline is April 18th. Do your taxes soon.,@BrownEyed_Babee You actually have 7 days! This years deadline is April 18. Our Tax Pros are ready when you are. #TaxesWon,1.0,0,1,0,39422.0,,6585.0,1.0,3667.0,33784.0,679.0,US,0.0
Aaron Sharockman,"""On Oct. 7, the Access Hollywood tape comes out. One hour later, WikiLeaks starts dropping my emails.""","@RogerGeissler @neontaster Yes. Roger Stone was the conduit between Trump and Wikileaks.  Stone was convicted for lying in attempts to cover up. The DNC emails hacked by Russian intelligence were released as an instant response 42 minutes after the Access Hollywood tape. 

Steele Dossier = red herring",2.0,0,1,0,216.0,,476.0,2.0,28385.0,10018.0,0.0,,1.0
Miriam Valverde,Says the nation is locked down and theres a wide open border.,"@hcmac17 @OpheliaWallace @GovMikeDeWine ""A few weeks""?  LOL-meanwhile the southern border is wide open and over a million illegals with no masks, no tests, &amp; no vax are flown and bussed all over this country, THOUSANDS were Covid +. And you still think citizens/taxpayers should be locked down? Pitiful-",0.0,0,0,0,12.0,,40.0,3.0,285.0,1599.0,0.0,,0.0
Jon Greenberg,Biden admits to voter fraud.,"@CardRoadshow @JackPosobiec How about admit the voter fraud, resign and make way for Trump? Biden admin has failed at EVERY. DAMN. THING.",0.0,0,0,0,52.0,,99.0,2.0,1854.0,1239.0,0.0,US,0.0
Paul Specht,Says James Madison signed the Declaration of Independence.,@RyanAFournier @CawthornforNC James Madison didnt sign the Declaration of Independence.,0.0,0,0,0,613.0,,1619.0,2.0,33837.0,12795.0,12.0,US,0.0
Steve Contorno,"""Rand Pauls speech ... on 'Gattaca' was totally ripped off of Wikipedia.""","@EricRaskin @IronMikeGallego Damn. I am TORN here. I liked Gattaca, hate Rand Paul, and Encino Man is a guilty pleasure.",0.0,0,1,0,7579.0,,792.0,2.0,31342.0,117092.0,160.0,US,1.0
Katie Sanders,"Says Mike Huckabee appeared in diabetes infomercials to endorse ""cures and treatments that no health agency supports.""",My plan calls for government subsidies for Ben Carson's glyconutrient supplements and Mike Huckabee's diabetes-curing cinnamon pills,1.0,0,2,0,6360.0,,996.0,0.0,94528.0,93226.0,180.0,,1.0
Tom Kertscher,Says Donald Trump won Arizona.,"@wesBledsoe2 @QuispMe the one that spent six million dollars and found more net votes for Biden than for Trump?

the one that re-re-re-re-re-confirmed Biden's win of Arizona?

that report?",1.0,0,0,0,207.0,,961.0,2.0,36145.0,17354.0,13.0,US,0.0
Austin Hough,"Small businesses ""create two out of every three American jobs.""",@BarackObama: FACT: Small businesses create two out of every three new jobs in the U.S. #SBW2013 (@whitehouse),0.0,0,0,0,767.0,0.0,206.0,2.0,68.0,682.0,4.0,,1.0
Madison Czopek,"""BUSTED: CDC Inflated COVID Numbers, Accused of Violating Federal Law""","@JayneCudzil @donwinslow wont help, they are convinced the CDC and ""Big Hospital"" are in league with the media and the ""libs"" and reporting non-covid deaths as covid to inflate numbers, they will jut have a whole lot of conspiracy nonsense to explain it away",1.0,0,9,0,15.0,,30.0,2.0,129.0,1874.0,0.0,US,0.0
Michael Majchrowicz,"Says Burisma admitted in a Ukrainian court to paying Joe Biden $900,000.","@CBSNews Burisma admits to bribing Joe Biden, but disputes the amount paid, in Ukrainian criminal court.  Prosecutors allege a $900,000 lump sum cash payment.  Burisma says, yes, we bribed Joe Biden, but it was a different amount.",0.0,0,0,0,820.0,,1221.0,1.0,52746.0,69173.0,2.0,US,0.0
Madeline Heim,"Its been over 50 years since minimum (wage) and inflation parted ways, then over a decade since the federal minimum went up at all.","Reminder that the $15 an hour minimum wage (that the ruling class refused to vote on during a pandemic), even if it was phased in over the next four years would only be worth about $13.50 because inflation and because our government doesnt actually care about working people.",1.0,1,1,0,978.0,0.0,4818.0,0.0,11622.0,4300.0,4.0,US,1.0
Victoria Knight,The percentage of Americans with natural immunity from getting COVID-19 is a very powerful vaccine in itself.,"@WASafeHealthy What about the ones who were fired over the vaccine mandate? Many of them refused the vaccine after recovering from covid infection,  having natural immunity which is now recognized as being superior to the vaccine.  Stop lying to us! We see through the lies.",0.0,0,3,0,26.0,,89.0,1.0,3587.0,794.0,0.0,US,0.0
Louis Jacobson,"""According to the Centers for Disease Control and Prevention (CDC), about 120 Americans on average die from a drug overdose every day. Overall, drug overdose deaths now outnumber deaths from firearms.""","@azcentral @ejmontini Democrats,the CDC, and NIH do not follow the science. C0vid is not a pandemic. You are partly responsible for the demise of this nation and the death of thousands caused by suicide, overdose and depression",0.0,0,0,0,851.0,,1755.0,2.0,5871.0,8753.0,2.0,US,1.0
C. Eugene,"""When I was secretary of state, I had a very high approval rating.""","@Purify_toast17 Nobody liked her but she had a high approval rating amongst Dems, GOP, and Independents while secretary of state and up to the time she decided to run.  He is a joke.  Education isn't everything.",0.0,0,1,0,1103.0,,2119.0,1.0,64201.0,270437.0,0.0,US,1.0
Ciara O'Rourke,Says Nancy Pelosi wont let Capitol police testify about what happened Jan. 6.,@tedcruz Good! now call Nancy Pelosi the Capitol police and the FBI to testify. They all knew what was going to happen and allowed it.,0.0,0,0,0,521.0,,1148.0,1.0,15849.0,5019.0,1.0,,0.0
Dan Clark,"About New York state: ""We have the highest debt per capita.""","@Redemptionofth3 @LindaHarden @BernieSanders Uh oh whats the problemo little buddy you done admitted Cali has the highest (which took forever ugh) now just admit what party runs that state, real simple, Ill give you a hint it starts with a D. its the same party that runs New York and the second highest debt",1.0,0,0,0,159.0,,265.0,,7117.0,10657.0,0.0,,1.0
Jon Greenberg,21% of people are having serious adverse events from (the Moderna) vaccine.,"@ProfKarolSikora Per today's Court-order Pfizer FOI:

Btwn 01.12.20 &amp; 28.02.21 (3 mos), there were 42,086 Adverse Events

Huh?!

A) That's Pfizer data ONLY - does NOT include A-Z, Moderna, etc

B) CDC admits only 10% AEs reported - thus, ACTUAL AEs may number close to 400,000, from Pfizer ALONE!!",0.0,0,0,0,414.0,0.0,796.0,1.0,2719.0,4714.0,3.0,,0.0
W. Gardner,Says Texas ranks last in the percentage of residents with high school diplomas.,"Dear #RickPerry, you govern a state that ranks dead last in the percent of its population with high school diplomas. #Texas #GOP",1.0,2,1,0,23803.0,,18561.0,0.0,781.0,35265.0,104.0,,1.0
Gabrielle Settles,There were no guns whatsoever at the Capitol riot on Jan. 6.,"@kathrynw5 Was it his first day? He didn't know you can't bring a gun in the capitol?

Or he saw the pitiful sentences Jan 6 attackers are getting for bringing on weapons and figured why not?",0.0,0,0,0,197.0,,231.0,1.0,75179.0,88919.0,2.0,US,0.0
Eric Stirgus,"""Forty-seven percent of (members of Congress) are millionaires.""","@WeThePeople021 @patriotcarolin3 No. Lets run for Congress and not have to work while becoming multi-millionaires. 
Im seriously considering it.",0.0,0,0,0,1183.0,,2244.0,2.0,23079.0,9237.0,0.0,US,1.0
Louis Jacobson,"Says Donald Trump'sfoundation ""took money other people gave to his charity and then bought a six-foot-tall painting of himself.""",@realDonaldTrump This is the same Trump Foundation that paid for the painting at your country club and little Don Jrs Cub Scout dues. The same that you promised would give $6M to veterans but only have $2.8M? THAT foundation? Sounds legit.,0.0,0,0,0,1694.0,,1857.0,1.0,18051.0,17147.0,4.0,US,1.0
Mark Reynolds,"""Most Americans are ready to put it [marijuana prohibition] behind us and move on.""",Americans fail to realize is this weed prohibition is stupid we just sneak  marijuana like al Capone did alcohol  #greengold #wakeupamerica,0.0,0,1,0,549.0,,559.0,0.0,8741.0,27068.0,7.0,US,1.0
James B.,"Wisconsins 6th congressional ""district has more manufacturing jobs than almost any other"" in the nation.","@realDonaldTrump 1/ Wisconsin has lost more than 6,200 manufacturing jobs in the last year alone. Second only to Pennsylvania in the country for lost manufacturing jobs over the last year. Farms are going out of business in Wisconsin at a near-record rate...",0.0,0,0,0,152.0,,277.0,1.0,25436.0,30886.0,6.0,US,1.0
Miriam Valverde,Says the nation is locked down and theres a wide open border.,"Our Border is wide open and our Government wants you Locked down like caged animal's..

Are you paying attention yet?",2.0,19,48,0,38666.0,,17365.0,0.0,72102.0,18500.0,15.0,US,0.0
Sean Gorman,"Says President Barack Obama ""will not utter the words radical Islamic terrorism and as matter of policy, nobody in the administration will say the words radical Islamic terrorism.""","@Tinyangel14 It is - remember how obsessed they were about having Obama call it Radical Islamic Terrorism? Zero republicans will ever call this terrorism, ever.",1.0,0,1,0,10139.0,,1330.0,1.0,5236.0,35007.0,243.0,US,1.0
Tom Kertscher,"""The entire Database of Maricopa County in Arizona has been DELETED!""","FROM 45's Blog &gt;""The entire Database of Maricopa County in Arizona has been DELETED!""
FACT &gt; Data was never deleted, Cyber Ninjas didn't know where to look! Then 45 blasted this as FRAUD!!!!!",0.0,0,1,0,455.0,,470.0,0.0,7528.0,16010.0,0.0,,0.0
Samantha Putterman,Friendly reminder: Cigarettes are FDA approved.,FDA also approved cigarettes They still cause cancer. Obviously this isnt about safety. JS Meagan Booher,0.0,1,3,0,3681.0,,4776.0,0.0,5213.0,9428.0,2.0,US,0.0
Tom Kertscher,"If I dont take the vaccine, Im at risk for covid. If I do take the vaccine, Im still at risk for covid PLUS Im at risk for permanent vaccine side effects. Therefore Im reducing my risk by not taking the vaccine. Thats the real science.","@perrynoble Perry, please think twice before tweeting out this stuff. Covid 19 is not a hoax, masks really work in reducing infection rates and after months of Bennie Johnson at Bethel (for eg) dismissing the science we're seeing Christian communities being put at real risk.",1.0,0,4,0,234.0,,513.0,1.0,238.0,11598.0,6.0,,0.0
Sean Gorman,"Says President Barack Obama ""will not utter the words radical Islamic terrorism and as matter of policy, nobody in the administration will say the words radical Islamic terrorism.""","@NemesisArt3mis @raaquelrivera You just choose to forget the major problems we were having in 2016 from radical Islamic terrorism? And you fail to mention Obama banning immigration from Iraq in 2011 for 6 months, longer than Trumps temporary ban",1.0,0,0,0,165.0,,186.0,2.0,64347.0,19857.0,0.0,US,1.0
Sarah Hauer,"""For decades, the states gas tax has been among the highest in the nation.""","@TeresaM51981532 Paid 3.17 in Skagit County today. WA third highest gas tax in US. Pending proposals would add another .18/gal and make us the highest in nation.
But, I've driven in other States and we do have some of the best roads. So, you do get what you pay for. Except NY. You just get taxes.",0.0,0,0,0,165.0,,187.0,1.0,13328.0,13843.0,0.0,US,1.0
Eric Stirgus,You can buy lobster with food stamps.,Using food stamps to buy lobster and then releasing it to REALLY piss off the Republicans,1.0,0,13,0,1840.0,0.0,405.0,0.0,395697.0,87491.0,21.0,,1.0
Monique Curet,Headlines show CNN published contradictory reports about hydroxychloroquine in 2020.,"@JacobusMolloy @Tesoro1 @FrEdwardBeck @EricaRHill @jimsciutto @NewDay @CNN I was one of the 1st 100 in Oklahoma to catch it in March of 2020 and I spent 5 days in the hospital being treated for low O2 levels with nothing but #HydroxyChloroquine, Zinc and Zithromax. 10 times in 20 months I've tested positive for the antibodies. Much better than vaccines",0.0,0,3,0,160.0,,590.0,7.0,782.0,564.0,0.0,US,0.0
Chris Nichols,"The estimated price of President Trumps border wall is the same as the cost of ""one and a half aircraft carriers.""","@JoeBiden mistakenly believed his voters hatred of Trump represented a mandate to reverse everything Trump, without factoring the public cost of canceling good policy. #trumppolicy #inflation #immigration #afghanistan #energy #wall",0.0,0,1,0,15.0,,209.0,1.0,178.0,797.0,0.0,US,1.0
Ciara O'Rourke,Says Joe Biden said a racial slur.,"@MarlaWatt6 @PolitiBunny Biden LITERALLY argued in favor of segregation, LITERALLY introduced the slur 'racial jungle' to the political lexicon, and is LITERALLY more responsible than any living person for our criminal-judicial system's racist outcomes.

His hands are drenched in the blood of non-whites.",0.0,0,1,0,1.0,,519.0,2.0,18574.0,8050.0,0.0,,0.0
Madison Czopek,"""BUSTED: CDC Inflated COVID Numbers, Accused of Violating Federal Law""","@Robert_B @f_l_o_u_r_i_s_h I can't with a modicum of logic interpret the CDC guidelines as encouraging the false reporting of Covid related deaths.
In addition, the conspiracy theory that hospitals are using Covid as an excuse to inflate their numbers to get financial benefits/resources is profoundly weak.",1.0,0,1,0,4800.0,,1205.0,2.0,32592.0,47399.0,229.0,US,0.0
Ciara O'Rourke,Coca-Cola made cans that say Try to be less white.,"You can support police reform and fighting police brutality without supporting #BlackLivesMatter, a scam organization with a dangerous agenda that aims to destabilize the country and incite a race war. Remember the ""be less white"" Coca Cola training. That said #PoliceReformNow !",0.0,0,0,0,8.0,,84.0,0.0,239.0,82.0,0.0,US,0.0
Samantha Putterman,Says the U.S. government caused the coronavirus pandemic because it sent mRNA coronavirus vaccine candidates to university researchers weeks before the COVID-19 outbreak.,"@mirandadevine @dailytelegraph Not at all.

Once we crush this current outbreak, like we've done many times before, we'll return to zero Covid and complete openning up again.

If only our useless federal government could roll out the vaccine a bit quicker, then we'd be even better...",1.0,0,0,0,565.0,0.0,581.0,2.0,1573.0,29463.0,5.0,,0.0
Madeline Heim,Says wearing masks has been proven ineffective.,"@BBCNews And what just keep wearing masks forever? They have been proven to be ineffective and these measures were put in place when there was no treatments or vaccine. Now we have these, it's time to realise that cases will always rise regardless. If you don't want to risk it, stay home",0.0,0,2,0,127.0,0.0,109.0,1.0,168.0,553.0,1.0,,0.0
Bill McCarthy,The mRNA COVID-19 vaccines are really gene therapy.,"@HallyuWebsite @SocialismsEnemy 2/ is not.  Again, genetic manipulation or gene therapy would HAVE to involve the changing of the DNA for a desired outcome.  The mRNA strand of the vaccine (or virus) never enters the nucleus of a cell.  This info can be found in any college level cellular biology textbook. 3/",1.0,0,0,0,115.0,0.0,88.0,2.0,17143.0,6739.0,1.0,,0.0
Samantha Putterman,Says Biden's Rolex belonged to his late son Beau.,"It would appear Bidens scandalous Rolex belonged to his beloved Beau. Ridiculous nonsense, especially after Donnies gold commode, et al.",0.0,0,0,0,661.0,0.0,1428.0,0.0,341119.0,10721.0,2.0,,0.0
Tom Kertscher,"Hundreds of thousands died after taking the advice of these celebrities, who are aiding and abetting mass murder by advocating COVID-19 vaccination.","It's official. It's premeditated murder that Gladys is committing, not accidental manslaughter. This is her plan, for want of a better name, for NSW. Her narcissistic ego has determined people who've had little opportunity to receive vaccination will be exposed &amp; some will die",0.0,0,0,0,1225.0,0.0,521.0,0.0,57628.0,50850.0,5.0,,0.0
Ciara O'Rourke,Says Spectrum will provide free internet to students during coronavirus school closures.,@BrendaBalazs @KenobiCheated Our school district offered iPads and hotspots(?) to students that needed them. Spectrum offered free internet to students needing it. The wifi crashed so many times with all the  people working from home too.,0.0,0,0,0,174.0,,827.0,2.0,8970.0,4728.0,1.0,,1.0
Samantha Putterman,Says authorities found 39 children in a double wide trailer in Georgia and it's not the biggest news story in America.,@kathygriffin @Facebook 39 missing children were found in a double wide trailer in Georgia. And the mainstream media is not reporting on this!,0.0,0,0,0,3687.0,,3879.0,2.0,6750.0,7568.0,15.0,US,0.0
D.L. Davis,End of eviction moratorium means millions of Americans could lose their housing in the middle of a pandemic.,@PatriotMirror @RudyGiuliani You bots are pathetic. Ask Chicago where the million dollar refund is? Trump pays his but he is still living rent free in your head. Obviously the eviction moratorium includes those who suffer from TDS too. Of course Rudy read the bill. Most Americans who care did!,2.0,0,1,0,1054.0,0.0,1412.0,2.0,11227.0,2731.0,0.0,US,1.0
Bill McCarthy,The southern U.S. border is now open to anyone from anywhere in the world who wishes to enter our country.,"@PatOShe93931101 @POTUS Afghanistan; Open Southern Border, permitting diseased, terrorists, or hardened criminals to enter the country, without vetting; failure to require vaccination of any illegal alien to enter nation in contravention of codified U.S. Immigration &amp; Naturalization Law. Holding in pens",0.0,0,0,0,2204.0,,4066.0,2.0,27832.0,50005.0,45.0,US,0.0
Ciara O'Rourke,Says Bruno Mars is Michael Jacksons son.,@AfroAmericanJay Just wait til we find out that Bruno Mars is Michael Jackson's real son and not those three yt kids running around with his money.,4.0,1,8,0,703.0,0.0,1002.0,1.0,60751.0,40091.0,0.0,,0.0
Louis Jacobson,"""More Americans have died from guns in the United States since 1968 than on battlefields of all the wars in American history.""","1.4 million Americans died from all wars but 
Since 1968 1.4 milllion Americans died from guns in the home..ijs",0.0,0,0,0,95.0,0.0,800.0,0.0,648.0,1149.0,3.0,,1.0
Matt Dietrich,These guys are now pretty much living up to the @BruceRauner standard. And falling dismally short of the @MittRomney standard. Even Romney released his full tax returns.,"@Romney should just released his tax returns. Even his own party is calling for it. Whats the deal? Got something to hide, Slickmitt?",0.0,0,0,0,291.0,,356.0,1.0,584.0,1220.0,0.0,US,1.0
Chris Nichols,"During his campaign for president, Donald Trump ""committed to honoring states' rights when it comes to marijuana legalization.""","@SenCoryGardner While others in Congress talked marijuana reform, you took action: backing-off AG Sessions, negotiating with Pres. Trump, and now, with Sen. Warren, introducing the STATES bill, which is real marijuana reform that respects states rights. Thank you!",0.0,0,0,0,291.0,0.0,284.0,1.0,210.0,4243.0,3.0,,1.0
Hayat Norimine,A photo shows a massive crowd at a recent Florida rally for Donald Trump.,"@mikandynothem @realDonaldTrump @kimguilfoyle @DonaldJTrumpJr @EricTrump @RealCandaceO @RandyRRQuaid @AMErikaNGIRLLL @VFL2013 @carrie_dixonLHC @kimfreethinker @alley167 CLAIM: A photo of a massive crowd filling a bridge and streets was taken at President Donald Trumps campaign rally in Ocala, Florida, on Friday, Oct. 16.

APS ASSESSMENT: False. The photo shows a popular music festival in Zurich, Switzerland.",3.0,0,0,0,39.0,,194.0,7.0,4280.0,1558.0,1.0,US,0.0
Tom Kertscher,"""The entire Database of Maricopa County in Arizona has been DELETED!""","'Insane lies' from Trump called out by Arizona Republican: 'This is unhinged'. ""The entire Database of Maricopa County in Arizona has been DELETED!"" Trump claimed. Republican Stephen Richer said that is not true.",1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1224.0,0.0,,0.0
Andy Nguyen,"""When you can't find gas, remember who executively ordered the Keystone Pipeline to close.""","@BuckSexton If Joe believes in competition within capitalism, then why did the govt shut down the Keystone pipeline, which makes the US less competitive in the oil/gas industry? Capitalists shouldn't have the govt engage in non-competitive acts based on command, rather than market forces!",0.0,0,0,0,184.0,,299.0,1.0,14783.0,7596.0,0.0,US,1.0
Amy Sherman,Children are almost immune from this disease.,"@WhiteHouse @POTUS @realDonaldTrump @realDonaldTrump is a proven pathological liar all the time... The video clip, shared on the Team Trump Twitter account and on the presidents Facebook page, falsely claimed that children are almost immune from this disease.""",0.0,0,0,0,40.0,,36.0,4.0,4764.0,10688.0,6.0,US,0.0
Dan Clark,"New York has ""among the highest tax burdens of any state in the nation""","Highest Tax Burdens (%)
1. New York (13.04%)
2. Hawaii (11.57%)
3. Maine (11.02%)
4. Vermont (10.94%)
5. Minnesota (10.37%)
6. Connecticut (10.19%)
7. Rhode Island (10.14%)
8. Illinois (10.08%)
9. New Jersey (10.02%)
10. California (9.57%)",0.0,0,0,0,3007.0,,299.0,0.0,546.0,11538.0,117.0,US,1.0
Amy Sherman,Children are almost immune from this disease.,"@jaysbookman ""Children are almost - I would almost say definitely - but almost immune from this disease.",0.0,0,0,0,101.0,,622.0,1.0,526.0,726.0,1.0,US,0.0
Bill McCarthy,Joe Biden wants to raise taxes on 82% of all Americans.,"@SenateDems @SenSherrodBrown In the middle of a COVID pandemic, Joe Biden has sworn to raise taxes that may affect as much as 82% of Americans.",0.0,0,0,0,115.0,,339.0,2.0,3290.0,9514.0,1.0,US,0.0
Ciara O'Rourke,"Coroner saying George Floyd died of drug overdose, not police brutality.","@SnarkyCity The Medium posts references real facts and the video footage. 

There's nothing incorrect in it. 

Everything else is just narrative and opinion, even from a so-called ""expert."" 

George Floyd factually died of a drug overdose. No ""expert's"" opinion changes reality.",1.0,0,0,0,1072.0,0.0,798.0,1.0,13978.0,26631.0,41.0,,0.0
Madeline Heim,"Its been over 50 years since minimum (wage) and inflation parted ways, then over a decade since the federal minimum went up at all.","@SenSanders @JoyAnnReid 1) The minimum wage should be pushed to $31.50/hr over the next 10 years, and from there pegged to inflation.  That is what it costs for a single person working 40 hrs/week to live a basic lifestyle w/o roommates after taxes in an average cost of living region.",1.0,0,0,0,53.0,0.0,56.0,2.0,38759.0,7974.0,1.0,US,1.0
